file_name_without_extension,sentiment_score,pos_freq,pos_val,neg_freq,neg_val,review_Num
BLT 스테이크.csv,36,23,36,0,0,22
갈매기 브루어리.csv,205,147,244,27,-39,205
개미집.csv,116,97,142,14,-26,203
고궁 명동점.csv,119,99,163,24,-44,90
광원.csv,175,122,191,10,-16,124
교촌치킨 동대문 1호점.csv,117,98,152,23,-35,101
구스트 타코.csv,2158,1666,2785,350,-627,1092
그릴 앤 바.csv,185,148,230,26,-45,129
금수복국.csv,193,139,224,22,-31,243
나마스테 해운대점.csv,164,121,200,23,-36,157
단풍나무 집 삼청동점.csv,167,110,192,14,-25,85
단풍나무집.csv,347,273,453,60,-106,210
더 잿 래그드 리자드.csv,212,147,255,24,-43,82
더 파크뷰.csv,138,110,184,27,-46,184
더킹스.csv,129,92,152,15,-23,132
더파티.csv,346,246,383,21,-37,324
라세느.csv,177,142,227,30,-50,260
라이너스 바베큐.csv,67,50,81,8,-14,57
레스토랑 8.csv,71,51,87,12,-16,76
마츠.csv,195,163,259,35,-64,151
마포진짜 원조 최대포.csv,48,49,77,18,-29,82
민트.csv,69,57,92,12,-23,94
바그다드.csv,159,128,211,27,-52,139
백제삼계탕.csv,25,30,43,12,-18,44
본전 돼지국밥.csv,78,55,94,11,-16,162
부자피자.csv,126,124,182,35,-56,201
브라이 리퍼블릭.csv,515,401,631,65,-116,310
브루 3.14.csv,220,151,249,17,-29,152
브루클린 버거 조인트.csv,137,114,188,32,-51,183
브릭오븐뉴욕피자.csv,86,80,123,24,-37,112
빌즈 잠실.csv,57,56,79,12,-22,49
사프란 레스토랑.csv,79,74,113,18,-34,65
산촌.csv,166,147,222,35,-56,131
삼원 가든 본점.csv,120,109,168,27,-48,103
새벽집 청담점.csv,60,60,96,21,-36,133
설빙 인사점.csv,71,52,84,9,-13,84
송정 3대 국밥.csv,103,79,131,16,-28,125
순희네 빈대떡.csv,46,65,100,33,-54,157
쌍둥이돼지국밥.csv,137,120,189,35,-52,245
아리랑.csv,131,123,189,32,-58,133
안동찜닭.csv,47,33,53,3,-6,49
오세계향.csv,124,99,154,18,-30,95
왕비집 명동 본점.csv,26,18,30,2,-4,39
우례옥 주교점.csv,88,76,118,21,-30,130
울프하운드 아이리쉬 펍.csv,126,109,167,24,-41,73
자매집.csv,34,42,70,21,-36,83
쟈니 덤플링.csv,16,12,22,4,-6,45
정식당.csv,476,442,679,119,-203,509
제스트.csv,145,144,237,60,-92,278
젤렌.csv,143,131,197,31,-54,180
죠티레스토랑.csv,461,313,534,42,-73,167
죠티인도레스토랑.csv,689,477,814,69,-125,309
지화자.csv,144,102,161,11,-17,78
진미식당.csv,-3,2,3,3,-6,11
진옥화할매원조닭한마리.csv,36,48,67,18,-31,105
토다이 명동점.csv,38,52,75,21,-37,96
토속촌삼계탕.csv,3,5,7,2,-4,11
파리바게트 강남역점.csv,112,82,138,17,-26,121
팔색 삼겹살 동대문점.csv,51,46,56,4,-5,73
팔색삼겹살.csv,139,115,176,21,-37,121
페트라.csv,143,122,194,27,-51,103
풀사이드 228.csv,86,63,101,9,-15,129
프로간장게장.csv,54,72,115,34,-61,120
프로스트.csv,174,137,224,29,-50,123
피에르가니에르.csv,241,168,288,28,-47,174
피자힐.csv,263,207,331,42,-68,236
하동관.csv,101,87,141,25,-40,157
할매가야밀면.csv,33,29,43,6,-10,82
햄리갓.csv,345,247,401,32,-56,194
홍시한정식.csv,150,120,199,28,-49,159
황생가칼국수.csv,82,69,103,13,-21,101
흑돈가.csv,73,72,121,28,-48,146
